SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	4	-0.19126584593470475	4.091	1.1988574403676466		0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	4	-0.1655409768569176	4.017	1.1988574403676466		0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P4	52:4329,82:557,105:202	5	-0.01933826666924801	0.798	1.5037253514920141	4	-0.19126584593470475	3.9080000000000004	1.1988574403676466		0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P5	86:461,45:7143,72:883,110:173,82:557,49:4956,60:2486,19:89106,68:1108,102:233,125:123,105:202,83:507,42:11125,56:3077,85:472,81:558,93:379,96:308,75:749,64:1363,39:14221,84:478,54:3839,63:1475,43:9189,33:30705	5	-0.9250915445982818	4.579000000000001	1.1660835504626041	4	-1.588364602460609	7.764000000000001	1.1660835504626448	55:3831	0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P6	39:14221,73:881,75:749	4	-0.03586418007420639	0.752	1.5930451485670079	4	-0.20140515693112399	3.9370000000000003	1.1988574403676466	55:3831	0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P7	70:931,45:7143,72:883,110:173,73:881,82:557,34:29223,60:2486,19:89106,68:1108,94:312,44:8879,102:233,125:123,105:202,48:4965,83:507,42:11125,121:131,41:11705,56:3077,85:472,81:558,93:379,96:308,75:749,64:1363,84:478,54:3839,63:1475,43:9189,33:30705	5	-0.8735073312641368	4.904000000000001	1.1538700729779223	5	-1.8140020858132206	8.014000000000001	1.153870072977952		0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P8	56:3077,71:926,82:557,105:202,60:2486	4	-0.02572486907778715	0.6119999999999999	1.3065683411293452	4	-0.19126584593470475	3.7220000000000004	1.1988574403676466		0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P9	70:931,64:1363,94:312,41:11705,72:883,84:478,81:558,105:202,82:557,96:308,76:690,75:749,83:507,47:6437	5	-0.334337322644851	1.1600000000000001	1.2572306687373032	4	-1.0421341767694394	4.345000000000001	1.1988574403676466	55:3831	0	True	0
kpne-SAMEA3357233	PBF_P1	45:7143,42:11125,68:1108,110:173,85:472,50:4716,65:1312,102:233,35:24297,82:557,125:123,93:379,49:4956,62:1549,60:2486,75:749	4	-0.1655409768569176	3.1100000000000003	1.1988574403669954	PBF_P10	68:1108,44:8879,102:233,82:557,33:30705,105:202,48:4965,83:507	5	-0.2056630541681436	2.1980000000000004	1.1538700729779223	4	-0.9935672503880857	5.308000000000001	1.153870072977952		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	4	-0.02572486907778715	1.888	1.5379315903719544		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P4	52:4329,82:557,105:202	5	-0.01933826666924801	0.798	1.5037253514920141	5	-0.036251716171913806	1.779	1.5037253514929034		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P5	86:461,45:7143,72:883,110:173,82:557,49:4956,60:2486,19:89106,68:1108,102:233,125:123,105:202,83:507,42:11125,56:3077,85:472,81:558,93:379,96:308,75:749,64:1363,39:14221,84:478,54:3839,63:1475,43:9189,33:30705	5	-0.9250915445982818	4.579000000000001	1.1660835504626041	5	-0.9420049941009476	5.5600000000000005	1.1660835504626448		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P6	39:14221,73:881,75:749	4	-0.03586418007420639	0.752	1.5930451485670079	4	-0.1025490509624587	1.3679999999999999	1.1736033561373915	58:2813,69:967,70:931,125:123	0	False	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P7	70:931,45:7143,72:883,110:173,73:881,82:557,34:29223,60:2486,19:89106,68:1108,94:312,44:8879,102:233,125:123,105:202,48:4965,83:507,42:11125,121:131,41:11705,56:3077,85:472,81:558,93:379,96:308,75:749,64:1363,84:478,54:3839,63:1475,43:9189,33:30705	5	-0.8735073312641368	4.904000000000001	1.1538700729779223	5	-0.8904207807668026	5.885000000000001	1.153870072977952		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P8	56:3077,71:926,82:557,105:202,60:2486	4	-0.02572486907778715	0.6119999999999999	1.3065683411293452	4	-0.0514497381555743	1.593	1.306568341129605		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P9	70:931,64:1363,94:312,41:11705,72:883,84:478,81:558,105:202,82:557,96:308,76:690,75:749,83:507,47:6437	5	-0.334337322644851	1.1600000000000001	1.2572306687373032	5	-0.35125077214751677	2.141	1.257230668737975		0	True	0
kpne-SAMEA3357233	PBF_P2	46:6727,82:557,105:202	5	-0.016913449502665795	0.981	1.537931590371969	PBF_P10	68:1108,44:8879,102:233,82:557,33:30705,105:202,48:4965,83:507	5	-0.2056630541681436	2.1980000000000004	1.1538700729779223	5	-0.2225765036708094	3.1790000000000003	1.153870072977952		0	True	0
kpne-SAMEA3357233	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	PBF_P4	52:4329,82:557,105:202	5	-0.01933826666924801	0.798	1.5037253514920141	4	-0.02572486907778715	1.705	1.5037253514929034		0	True	0
kpne-SAMEA3357233	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	PBF_P5	86:461,45:7143,72:883,110:173,82:557,49:4956,60:2486,19:89106,68:1108,102:233,125:123,105:202,83:507,42:11125,56:3077,85:472,81:558,93:379,96:308,75:749,64:1363,39:14221,84:478,54:3839,63:1475,43:9189,33:30705	5	-0.9250915445982818	4.579000000000001	1.1660835504626041	5	-0.9603482956577217	5.486000000000001	1.1660835504626448		0	True	0
kpne-SAMEA3357233	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	PBF_P6	39:14221,73:881,75:749	4	-0.03586418007420639	0.752	1.5930451485670079	4	-0.07682418188467155	1.2939999999999998	1.1736033561373915	58:2813,69:967,70:931,125:123	0	False	0
kpne-SAMEA3357233	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	PBF_P7	70:931,45:7143,72:883,110:173,73:881,82:557,34:29223,60:2486,19:89106,68:1108,94:312,44:8879,102:233,125:123,105:202,48:4965,83:507,42:11125,121:131,41:11705,56:3077,85:472,81:558,93:379,96:308,75:749,64:1363,84:478,54:3839,63:1475,43:9189,33:30705	5	-0.8735073312641368	4.904000000000001	1.1538700729779223	5	-0.9087640823235767	5.811000000000001	1.153870072977952		0	True	0
kpne-SAMEA3357233	PBF_P3	53:3881,82:557	4	0.0	0.907	1.5901820646596359	PBF_P8	56:3077,71:926,82:557,105:202,60:2486	4	-0.02572486907778715	0.6119999999999999	1.3065683411293452	4	-0.02572486907778715	1.519	1.306568341129605		0	True	0
