SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	0	0	0	0		1	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_unb_2	134:7266	4	0.0	0.058219299999999974	0.7418768758947972	4	-0.01195551233147124	0.3378985	0.6033822428616986	273:112	0	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_Isolated_0	142:6526	4	0.0	0.08120890000000003	0.41910669253857163	0	0	0	0		1	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_Isolated_1	144:6237	4	0.0	0.16560036	0.3235481573535076	0	0	0	0		1	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_Isolated_2	149:6030	4	0.0	0.016925500000000038	0.43532750488731914	0	0	0	0		1	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_Isolated_3	175:4188	4	0.0	0.03751813999999998	0.4028822464953017	0	0	0	0		1	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_Isolated_4	206:2538	3	0.0	0.046138299999999965	0.2634105130049927	0	0	0	0		1	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_unb_3	211:2445	4	0.0	0.11649184999999995	1.163741542575999	4	-0.01195551233147124	0.39617104999999997	0.6033822428616986	273:112	0	False	0
abau-SAMN27010192	GP_unb_1	96:12104	4	0.0	0.12751460000000003	0.6033822428616071	GP_1	220:2075,227:1720,242:671,247:563	4	0.0	1.3476215100000002	6.849841207549363	4	-0.020414281129564837	1.1656134100000002	0.6033822428616986	203:2695,240:1025,260:141,273:112	0	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_unb_2	134:7266	4	0.0	0.058219299999999974	0.7418768758947972	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_Isolated_0	142:6526	4	0.0	0.08120890000000003	0.41910669253857163	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_Isolated_1	144:6237	4	0.0	0.16560036	0.3235481573535076	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_Isolated_2	149:6030	4	0.0	0.016925500000000038	0.43532750488731914	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_Isolated_3	175:4188	4	0.0	0.03751813999999998	0.4028822464953017	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_Isolated_4	206:2538	3	0.0	0.046138299999999965	0.2634105130049927	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_unb_3	211:2445	4	0.0	0.11649184999999995	1.163741542575999	0	0	0	0		1	False	0
abau-SAMN27010192	GP_0	123:8732	4	0.0	0.45738875999999995	1.6922842130507774	GP_1	220:2075,227:1720,242:671,247:563	4	0.0	1.3476215100000002	6.849841207549363	0	0	0	0		1	False	0
