SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN27010192	MOB_AC237	104:10919,141:6548	4	0.0	0.4367269620798653	0.8090893234787538	MOB_AE271	110:10232,130:7895,160:5274,169:4618,235:1581,45:26872,89:13125,98:11647	4	0.0	-2.923657917915222	0.38714834921257846	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AC237	104:10919,141:6548	4	0.0	0.4367269620798653	0.8090893234787538	MOB_AD096	112:10010,172:4399	4	0.0	0.19596080846098834	0.6001409873474757	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AC237	104:10919,141:6548	4	0.0	0.4367269620798653	0.8090893234787538	MOB_AC163	123:8732,211:2445	4	0.0	0.49058604791412586	1.163741542575999	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AC237	104:10919,141:6548	4	0.0	0.4367269620798653	0.8090893234787538	MOB_AE272	129:8101,131:7765,154:5479,180:3807,222:1908,223:1894,236:1541,240:1025,32:32701,48:26115,96:12104	4	0.0	-2.479384604426427	0.40217730975792326	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AC237	104:10919,141:6548	4	0.0	0.4367269620798653	0.8090893234787538	MOB_AF972	168:4693,75:17110,79:16139	4	0.0	-0.15860244694607006	0.9230311501276415	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AC237	104:10919,141:6548	4	0.0	0.4367269620798653	0.8090893234787538	MOB_AH171	179:3954,34:31002	4	0.0	-0.7515665108058457	0.5192331451079572	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AE271	110:10232,130:7895,160:5274,169:4618,235:1581,45:26872,89:13125,98:11647	4	0.0	-2.923657917915222	0.38714834921257846	MOB_AD096	112:10010,172:4399	4	0.0	0.19596080846098834	0.6001409873474757	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AE271	110:10232,130:7895,160:5274,169:4618,235:1581,45:26872,89:13125,98:11647	4	0.0	-2.923657917915222	0.38714834921257846	MOB_AC163	123:8732,211:2445	4	0.0	0.49058604791412586	1.163741542575999	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AE271	110:10232,130:7895,160:5274,169:4618,235:1581,45:26872,89:13125,98:11647	4	0.0	-2.923657917915222	0.38714834921257846	MOB_AE272	129:8101,131:7765,154:5479,180:3807,222:1908,223:1894,236:1541,240:1025,32:32701,48:26115,96:12104	4	0.0	-2.479384604426427	0.40217730975792326	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AE271	110:10232,130:7895,160:5274,169:4618,235:1581,45:26872,89:13125,98:11647	4	0.0	-2.923657917915222	0.38714834921257846	MOB_AF972	168:4693,75:17110,79:16139	4	0.0	-0.15860244694607006	0.9230311501276415	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AE271	110:10232,130:7895,160:5274,169:4618,235:1581,45:26872,89:13125,98:11647	4	0.0	-2.923657917915222	0.38714834921257846	MOB_AH171	179:3954,34:31002	4	0.0	-0.7515665108058457	0.5192331451079572	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AD096	112:10010,172:4399	4	0.0	0.19596080846098834	0.6001409873474757	MOB_AC163	123:8732,211:2445	4	0.0	0.49058604791412586	1.163741542575999	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AD096	112:10010,172:4399	4	0.0	0.19596080846098834	0.6001409873474757	MOB_AE272	129:8101,131:7765,154:5479,180:3807,222:1908,223:1894,236:1541,240:1025,32:32701,48:26115,96:12104	4	0.0	-2.479384604426427	0.40217730975792326	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AD096	112:10010,172:4399	4	0.0	0.19596080846098834	0.6001409873474757	MOB_AF972	168:4693,75:17110,79:16139	4	0.0	-0.15860244694607006	0.9230311501276415	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AD096	112:10010,172:4399	4	0.0	0.19596080846098834	0.6001409873474757	MOB_AH171	179:3954,34:31002	4	0.0	-0.7515665108058457	0.5192331451079572	0	0	0	0		1	False	0
abau-SAMN27010192	MOB_AC163	123:8732,211:2445	4	0.0	0.49058604791412586	1.163741542575999	MOB_AE272	129:8101,131:7765,154:5479,180:3807,222:1908,223:1894,236:1541,240:1025,32:32701,48:26115,96:12104	4	0.0	-2.479384604426427	0.40217730975792326	4	-0.01195551233147124	-1.491954413327809	0.40217730975746235	273:112	0	False	0
abau-SAMN27010192	MOB_AC163	123:8732,211:2445	4	0.0	0.49058604791412586	1.163741542575999	MOB_AF972	168:4693,75:17110,79:16139	4	0.0	-0.15860244694607006	0.9230311501276415	4	-0.01195551233147124	0.29158875359152236	0.8596485490652412	190:3280,240:1025,241:910,273:112	0	False	0
abau-SAMN27010192	MOB_AC163	123:8732,211:2445	4	0.0	0.49058604791412586	1.163741542575999	MOB_AH171	179:3954,34:31002	4	0.0	-0.7515665108058457	0.5192331451079572	0	0	0	0		1	False	0
