SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN37984268	PBF_P1	68:424,15:65586,62:535,50:991,28:3509,69:415,37:1488,45:1190,56:658,97:131,25:7404,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,34:1773,38:1413,75:223,70:388,86:163,22:8635,17:33663,21:11286,58:611,42:1270,29:3066,30:2899,57:614,84:167,64:518,20:14985,90:148	5	-1.7079872074378635	6.9934750227058355	1.0955487645493027	PBF_P2	68:424,62:535,50:991,28:3509,69:415,45:1190,37:1488,56:658,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,23:7688,66:467,65:505,72:350,35:1572,82:176,76:209,51:735,70:388,38:1413,34:1773,86:163,17:33663,22:8635,91:148,21:11286,58:611,42:1270,84:167,57:614,30:2899,29:3066,64:518,90:148	5	-1.8015384270520307	5.587785903459696	1.1536511608150426	5	-3.5095256344898944	12.58126092616553	1.095548764549676		0	True	0
kpne-SAMN37984268	PBF_P1	68:424,15:65586,62:535,50:991,28:3509,69:415,37:1488,45:1190,56:658,97:131,25:7404,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,34:1773,38:1413,75:223,70:388,86:163,22:8635,17:33663,21:11286,58:611,42:1270,29:3066,30:2899,57:614,84:167,64:518,20:14985,90:148	5	-1.7079872074378635	6.9934750227058355	1.0955487645493027	PBF_P3	68:424,28:3509,69:415,37:1488,56:658,63:526,26:5457,36:1524,24:7475,43:1223,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,70:388,38:1413,86:163,17:33663,21:11286,42:1270,58:611,84:167,57:614,30:2899,64:518,90:148	5	-1.5148232730959097	4.259749043399025	1.6503458953146553	5	-3.222810480533773	11.25322406610486	1.095548764549676	99:124	0	True	0
kpne-SAMN37984268	PBF_P1	68:424,15:65586,62:535,50:991,28:3509,69:415,37:1488,45:1190,56:658,97:131,25:7404,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,34:1773,38:1413,75:223,70:388,86:163,22:8635,17:33663,21:11286,58:611,42:1270,29:3066,30:2899,57:614,84:167,64:518,20:14985,90:148	5	-1.7079872074378635	6.9934750227058355	1.0955487645493027	PBF_P4	28:3509,69:415,37:1488,97:131,63:526,24:7475,43:1223,80:181,31:2333,73:334,23:7688,66:467,65:505,72:350,74:253,82:176,35:1572,76:209,51:735,70:388,86:163,17:33663,21:11286,58:611,42:1270,84:167,57:614,64:518,90:148	4	-1.142286433664265	3.2675107684596854	1.1536511608150426	5	-3.071053207564265	10.26098579116552	1.095548764549676		0	True	0
kpne-SAMN37984268	PBF_P1	68:424,15:65586,62:535,50:991,28:3509,69:415,37:1488,45:1190,56:658,97:131,25:7404,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,34:1773,38:1413,75:223,70:388,86:163,22:8635,17:33663,21:11286,58:611,42:1270,29:3066,30:2899,57:614,84:167,64:518,20:14985,90:148	5	0	0	0	PBF_P5	21:11286,31:2333,64:518	5	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMN37984268	PBF_P1	68:424,15:65586,62:535,50:991,28:3509,69:415,37:1488,45:1190,56:658,97:131,25:7404,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,34:1773,38:1413,75:223,70:388,86:163,22:8635,17:33663,21:11286,58:611,42:1270,29:3066,30:2899,57:614,84:167,64:518,20:14985,90:148	5	0	0	0	PBF_P6	17:33663	4	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMN37984268	PBF_P2	68:424,62:535,50:991,28:3509,69:415,45:1190,37:1488,56:658,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,23:7688,66:467,65:505,72:350,35:1572,82:176,76:209,51:735,70:388,38:1413,34:1773,86:163,17:33663,22:8635,91:148,21:11286,58:611,42:1270,84:167,57:614,30:2899,29:3066,64:518,90:148	5	-1.8015384270520307	5.587785903459696	1.1536511608150426	PBF_P3	68:424,28:3509,69:415,37:1488,56:658,63:526,26:5457,36:1524,24:7475,43:1223,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,70:388,38:1413,86:163,17:33663,21:11286,42:1270,58:611,84:167,57:614,30:2899,64:518,90:148	5	-1.5148232730959097	4.259749043399025	1.6503458953146553	5	-3.31636170014794	10.313131743924785	0.7627567031940998	20:14985	0	True	0
kpne-SAMN37984268	PBF_P2	68:424,62:535,50:991,28:3509,69:415,45:1190,37:1488,56:658,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,23:7688,66:467,65:505,72:350,35:1572,82:176,76:209,51:735,70:388,38:1413,34:1773,86:163,17:33663,22:8635,91:148,21:11286,58:611,42:1270,84:167,57:614,30:2899,29:3066,64:518,90:148	5	-1.8015384270520307	5.587785903459696	1.1536511608150426	PBF_P4	28:3509,69:415,37:1488,97:131,63:526,24:7475,43:1223,80:181,31:2333,73:334,23:7688,66:467,65:505,72:350,74:253,82:176,35:1572,76:209,51:735,70:388,86:163,17:33663,21:11286,58:611,42:1270,84:167,57:614,64:518,90:148	4	-1.142286433664265	3.2675107684596854	1.1536511608150426	5	-3.164604427178432	9.320893468985446	0.7627567031940998	20:14985	0	True	0
kpne-SAMN37984268	PBF_P2	68:424,62:535,50:991,28:3509,69:415,45:1190,37:1488,56:658,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,23:7688,66:467,65:505,72:350,35:1572,82:176,76:209,51:735,70:388,38:1413,34:1773,86:163,17:33663,22:8635,91:148,21:11286,58:611,42:1270,84:167,57:614,30:2899,29:3066,64:518,90:148	5	0	0	0	PBF_P5	21:11286,31:2333,64:518	5	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMN37984268	PBF_P2	68:424,62:535,50:991,28:3509,69:415,45:1190,37:1488,56:658,26:5457,36:1524,43:1223,24:7475,80:181,81:177,31:2333,73:334,23:7688,66:467,65:505,72:350,35:1572,82:176,76:209,51:735,70:388,38:1413,34:1773,86:163,17:33663,22:8635,91:148,21:11286,58:611,42:1270,84:167,57:614,30:2899,29:3066,64:518,90:148	5	0	0	0	PBF_P6	17:33663	4	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMN37984268	PBF_P3	68:424,28:3509,69:415,37:1488,56:658,63:526,26:5457,36:1524,24:7475,43:1223,80:181,81:177,31:2333,73:334,98:131,23:7688,65:505,72:350,74:253,82:176,35:1572,76:209,70:388,38:1413,86:163,17:33663,21:11286,42:1270,58:611,84:167,57:614,30:2899,64:518,90:148	5	-1.5148232730959097	4.259749043399025	1.6503458953146553	PBF_P4	28:3509,69:415,37:1488,97:131,63:526,24:7475,43:1223,80:181,31:2333,73:334,23:7688,66:467,65:505,72:350,74:253,82:176,35:1572,76:209,51:735,70:388,86:163,17:33663,21:11286,58:611,42:1270,84:167,57:614,64:518,90:148	4	-1.142286433664265	3.2675107684596854	1.1536511608150426	5	-2.877889273222311	7.992856608924775	0.7627567031940998	20:14985	0	True	0
