SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN30608554	MOB_AA976	Contig:124:169.414:8620,Contig:1:103.326:Circ:5164,Contig:4:151.85:Circ:2319	4	-0.0254594439792985	1.460085967818216	0.735349270124521	MOB_AA338	Contig:126:151.993:7945,Contig:138:580.092:1333,Contig:142:1086.01:2345,Contig:25:156.07:2837,Contig:91:152.637:5736,Contig:95:1413.64:1057	4	-0.1487529757224864	-0.47767361361710575	1.4895679103689594	4	-0.2954211705531732	2.363417512047815	0.06734649247300695	Contig:112:1318.02:1140,Contig:132:162.905:12654,Contig:143:153.809:9666,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:39:304.609:820,Contig:65:144.123:7449,Contig:90:2213.83:395,Contig:142:1086.01:5p:1:5:114,Contig:142:1086.01:5p:1:7:239,Contig:142:1086.01:5p:1:12:285	0	False	0
ecol-SAMN30608554	MOB_AA976	Contig:124:169.414:8620,Contig:1:103.326:Circ:5164,Contig:4:151.85:Circ:2319	4	-0.0254594439792985	1.460085967818216	0.735349270124521	MOB_AA351	Contig:132:162.905:12654,Contig:139:140.88:3570,Contig:143:153.809:9666,Contig:145:247.66:1178,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:52:170.151:8904,Contig:65:144.123:7449,Contig:92:143.238:6730	4	-0.4408125211838956	0.9044271899721514	1.3752507032645154	4	-0.4662719651631941	2.3645131577903675	0.7353492701240611		0	False	0
ecol-SAMN30608554	MOB_AA976	Contig:124:169.414:8620,Contig:1:103.326:Circ:5164,Contig:4:151.85:Circ:2319	4	-0.0254594439792985	1.460085967818216	0.735349270124521	MOB_AA578	Contig:2:58.1699:Circ:4091	4	0.0	-0.3702912624058	0.5617367338628061	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA976	Contig:124:169.414:8620,Contig:1:103.326:Circ:5164,Contig:4:151.85:Circ:2319	4	-0.0254594439792985	1.460085967818216	0.735349270124521	MOB_AB240	Contig:3:47.5084:Circ:1780	5	0.0	-0.327955073512029	0.4364331302931077	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA976	Contig:124:169.414:8620,Contig:1:103.326:Circ:5164,Contig:4:151.85:Circ:2319	4	-0.0254594439792985	1.460085967818216	0.735349270124521	MOB_AA147	Contig:5:179.249:Circ:5631	4	0.0	0.17627552519657197	1.7474609169549946	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA976	Contig:124:169.414:8620,Contig:1:103.326:Circ:5164,Contig:4:151.85:Circ:2319	4	-0.0254594439792985	1.460085967818216	0.735349270124521	MOB_AE235	Contig:6:44.8981:Circ:1718	4	0.0	0.09171018139353004	0.4078015242069079	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA338	Contig:126:151.993:7945,Contig:138:580.092:1333,Contig:142:1086.01:2345,Contig:25:156.07:2837,Contig:91:152.637:5736,Contig:95:1413.64:1057	4	-0.1487529757224864	-0.47767361361710575	1.4895679103689594	MOB_AA351	Contig:132:162.905:12654,Contig:139:140.88:3570,Contig:143:153.809:9666,Contig:145:247.66:1178,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:52:170.151:8904,Contig:65:144.123:7449,Contig:92:143.238:6730	4	-0.4408125211838956	0.9044271899721514	1.3752507032645154	4	-0.5895654969063819	0.4267535763550457	1.3752507032641006		0	False	0
ecol-SAMN30608554	MOB_AA338	Contig:126:151.993:7945,Contig:138:580.092:1333,Contig:142:1086.01:2345,Contig:25:156.07:2837,Contig:91:152.637:5736,Contig:95:1413.64:1057	4	-0.1487529757224864	-0.47767361361710575	1.4895679103689594	MOB_AA578	Contig:2:58.1699:Circ:4091	4	0.0	-0.3702912624058	0.5617367338628061	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA338	Contig:126:151.993:7945,Contig:138:580.092:1333,Contig:142:1086.01:2345,Contig:25:156.07:2837,Contig:91:152.637:5736,Contig:95:1413.64:1057	4	-0.1487529757224864	-0.47767361361710575	1.4895679103689594	MOB_AB240	Contig:3:47.5084:Circ:1780	5	0.0	-0.327955073512029	0.4364331302931077	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA338	Contig:126:151.993:7945,Contig:138:580.092:1333,Contig:142:1086.01:2345,Contig:25:156.07:2837,Contig:91:152.637:5736,Contig:95:1413.64:1057	4	-0.1487529757224864	-0.47767361361710575	1.4895679103689594	MOB_AA147	Contig:5:179.249:Circ:5631	4	0.0	0.17627552519657197	1.7474609169549946	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA338	Contig:126:151.993:7945,Contig:138:580.092:1333,Contig:142:1086.01:2345,Contig:25:156.07:2837,Contig:91:152.637:5736,Contig:95:1413.64:1057	4	-0.1487529757224864	-0.47767361361710575	1.4895679103689594	MOB_AE235	Contig:6:44.8981:Circ:1718	4	0.0	0.09171018139353004	0.4078015242069079	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA351	Contig:132:162.905:12654,Contig:139:140.88:3570,Contig:143:153.809:9666,Contig:145:247.66:1178,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:52:170.151:8904,Contig:65:144.123:7449,Contig:92:143.238:6730	4	-0.4408125211838956	0.9044271899721514	1.3752507032645154	MOB_AA578	Contig:2:58.1699:Circ:4091	4	0.0	-0.3702912624058	0.5617367338628061	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA351	Contig:132:162.905:12654,Contig:139:140.88:3570,Contig:143:153.809:9666,Contig:145:247.66:1178,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:52:170.151:8904,Contig:65:144.123:7449,Contig:92:143.238:6730	4	-0.4408125211838956	0.9044271899721514	1.3752507032645154	MOB_AB240	Contig:3:47.5084:Circ:1780	5	0.0	-0.327955073512029	0.4364331302931077	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA351	Contig:132:162.905:12654,Contig:139:140.88:3570,Contig:143:153.809:9666,Contig:145:247.66:1178,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:52:170.151:8904,Contig:65:144.123:7449,Contig:92:143.238:6730	4	-0.4408125211838956	0.9044271899721514	1.3752507032645154	MOB_AA147	Contig:5:179.249:Circ:5631	4	0.0	0.17627552519657197	1.7474609169549946	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA351	Contig:132:162.905:12654,Contig:139:140.88:3570,Contig:143:153.809:9666,Contig:145:247.66:1178,Contig:147:167.952:6416,Contig:158:275.364:2132,Contig:52:170.151:8904,Contig:65:144.123:7449,Contig:92:143.238:6730	4	-0.4408125211838956	0.9044271899721514	1.3752507032645154	MOB_AE235	Contig:6:44.8981:Circ:1718	4	0.0	0.09171018139353004	0.4078015242069079	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA578	Contig:2:58.1699:Circ:4091	4	0.0	-0.3702912624058	0.5617367338628061	MOB_AB240	Contig:3:47.5084:Circ:1780	5	0.0	-0.327955073512029	0.4364331302931077	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA578	Contig:2:58.1699:Circ:4091	4	0.0	-0.3702912624058	0.5617367338628061	MOB_AA147	Contig:5:179.249:Circ:5631	4	0.0	0.17627552519657197	1.7474609169549946	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA578	Contig:2:58.1699:Circ:4091	4	0.0	-0.3702912624058	0.5617367338628061	MOB_AE235	Contig:6:44.8981:Circ:1718	4	0.0	0.09171018139353004	0.4078015242069079	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AB240	Contig:3:47.5084:Circ:1780	5	0.0	-0.327955073512029	0.4364331302931077	MOB_AA147	Contig:5:179.249:Circ:5631	4	0.0	0.17627552519657197	1.7474609169549946	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AB240	Contig:3:47.5084:Circ:1780	5	0.0	-0.327955073512029	0.4364331302931077	MOB_AE235	Contig:6:44.8981:Circ:1718	4	0.0	0.09171018139353004	0.4078015242069079	0	0	0	0		1	False	0
ecol-SAMN30608554	MOB_AA147	Contig:5:179.249:Circ:5631	4	0.0	0.17627552519657197	1.7474609169549946	MOB_AE235	Contig:6:44.8981:Circ:1718	4	0.0	0.09171018139353004	0.4078015242069079	0	0	0	0		1	False	0
