SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
efae-SAMN36766196	GT_3	39:25262,72:11472,85:6404,107:3933,110:3589,111:3431,162:755,168:665,169:623,178:524,179:523,182:500,186:492,188:479,192:453,194:446,207:306,209:283,220:235,221:233,223:231,225:229,230:209,232:206,234:202,239:183,241:175,244:163,245:160,248:150,254:134,257:125,259:123,261:120,262:117,264:115,265:115,267:111,268:110,269:110,271:108,137:1500,163:715	4	-0.11240149883272119	3.3524410704742444	0.6574533496182887	GT_2	59:14401,62:13908,65:13351,66:13313,67:12659,76:9705,89:6069,90:5881,97:5124,104:4178,105:4168,106:3958,108:3932,116:2470,120:2382,123:2106,143:1390,145:1248,148:1099,155:890,159:780,162:755,174:565,175:548,176:534,180:515,181:502,190:458,193:453,194:446,199:384,201:351,203:334,204:329,208:286,209:283,217:249,219:249,221:233,225:229,227:212,229:210,231:206,233:202,235:199,237:188,246:155,247:154,248:150,250:146,255:129,259:123,262:117,264:115,268:110,269:110,270:110,134:1514,136:1502,144:1309,149:1074,151:1040,153:978,163:715,173:602,183:498,195:445,210:283,224:231,238:184,260:123,274:101	4	-0.26447636296253973	9.155327202348936	0.8407390771743174	4	-0.4549020148417595	13.675580266585051	0.6574533496186632	44:22032,53:16841,56:14706,58:14485,95:5197,112:3396,118:2424,124:1740,128:1642,129:1642,133:1514,135:1512,138:1477,141:1419,161:757,167:671,171:620,197:393,198:384,214:265,216:261,249:148,263:117,272:103,275:100	0	True	0
efae-SAMN36766196	GT_3	39:25262,72:11472,85:6404,107:3933,110:3589,111:3431,162:755,168:665,169:623,178:524,179:523,182:500,186:492,188:479,192:453,194:446,207:306,209:283,220:235,221:233,223:231,225:229,230:209,232:206,234:202,239:183,241:175,244:163,245:160,248:150,254:134,257:125,259:123,261:120,262:117,264:115,265:115,267:111,268:110,269:110,271:108,137:1500,163:715	4	-0.11240149883272119	3.3524410704742444	0.6574533496182887	GT_4	80:8299,86:6385,91:5455,100:4523,110:3589,113:3290,115:2495,117:2461,156:852,162:755,165:695,176:534,182:500,185:492,194:446,202:348,203:334,206:307,208:286,209:283,218:249,220:235,221:233,223:231,225:229,228:212,229:210,233:202,239:183,240:175,244:163,245:160,248:150,250:146,254:134,257:125,259:123,262:117,264:115,267:111,268:110,269:110,271:108,163:715	4	-0.12588917515006987	5.831183902612423	0.6869601428359086	4	-0.33313783642156714	17.265088439017745	0.09969586218358018	44:22032,53:16841,56:14706,58:14485,59:14401,62:13908,70:11791,76:9705,81:7605,106:3958,109:3868,116:2470,124:1740,125:1714,127:1678,128:1642,129:1642,133:1514,134:1514,135:1512,136:1502,138:1477,141:1419,144:1309,147:1163,148:1099,149:1074,151:1040,153:978,154:948,158:798,159:780,161:757,167:671,171:620,173:602,180:515,183:498,190:458,195:445,197:393,198:384,210:283,213:270,214:265,216:261,219:249,224:231,231:206,238:184,246:155,249:148,255:129,263:117,270:110,275:100	0	True	0
efae-SAMN36766196	GT_3	39:25262,72:11472,85:6404,107:3933,110:3589,111:3431,162:755,168:665,169:623,178:524,179:523,182:500,186:492,188:479,192:453,194:446,207:306,209:283,220:235,221:233,223:231,225:229,230:209,232:206,234:202,239:183,241:175,244:163,245:160,248:150,254:134,257:125,259:123,261:120,262:117,264:115,265:115,267:111,268:110,269:110,271:108,137:1500,163:715	4	-0.11240149883272119	3.3524410704742444	0.6574533496182887	GT_6	83:6848,121:2354,166:674,170:623,177:533,179:523,187:480,232:206,261:120,265:115,144:1309,149:1074	4	-0.005273238304605216	1.2105260818418762	4.405906912404538	4	-0.21252189957610246	13.501286724248244	0.09969586218358018	44:22032,53:16841,56:14706,58:14485,62:13908,65:13351,76:9705,89:6069,106:3958,109:3868,124:1740,125:1714,127:1678,128:1642,129:1642,133:1514,134:1514,135:1512,136:1502,138:1477,141:1419,147:1163,148:1099,153:978,154:948,158:798,159:780,161:757,167:671,171:620,173:602,180:515,183:498,190:458,195:445,197:393,198:384,203:334,208:286,210:283,213:270,214:265,216:261,219:249,224:231,231:206,238:184,246:155,249:148,250:146,255:129,263:117,270:110,275:100	0	True	0
efae-SAMN36766196	GT_3	39:25262,72:11472,85:6404,107:3933,110:3589,111:3431,162:755,168:665,169:623,178:524,179:523,182:500,186:492,188:479,192:453,194:446,207:306,209:283,220:235,221:233,223:231,225:229,230:209,232:206,234:202,239:183,241:175,244:163,245:160,248:150,254:134,257:125,259:123,261:120,262:117,264:115,265:115,267:111,268:110,269:110,271:108,137:1500,163:715	4	-0.11240149883272119	3.3524410704742444	0.6574533496182887	GT_7	87:6174	4	0.0	0.2918836482409902	17.83533843644451	0	0	0	0		1	False	0
efae-SAMN36766196	GT_3	39:25262,72:11472,85:6404,107:3933,110:3589,111:3431,162:755,168:665,169:623,178:524,179:523,182:500,186:492,188:479,192:453,194:446,207:306,209:283,220:235,221:233,223:231,225:229,230:209,232:206,234:202,239:183,241:175,244:163,245:160,248:150,254:134,257:125,259:123,261:120,262:117,264:115,265:115,267:111,268:110,269:110,271:108,137:1500,163:715	4	-0.11240149883272119	3.3524410704742444	0.6574533496182887	GT_5	205:325,4:80650,128:1642,214:265,260:123,263:117	4	-0.0499396718074733	-0.019547283741258248	1.2705785301939363	4	-0.20724866127149724	12.908212415600673	0.09969586218358018	44:22032,50:18515,53:16841,58:14485,59:14401,62:13908,76:9705,80:8299,81:7605,106:3958,109:3868,116:2470,125:1714,127:1678,133:1514,134:1514,135:1512,136:1502,138:1477,141:1419,144:1309,147:1163,148:1099,149:1074,151:1040,153:978,154:948,158:798,159:780,167:671,173:602,180:515,183:498,190:458,195:445,197:393,203:334,208:286,210:283,213:270,219:249,224:231,228:212,231:206,238:184,246:155,249:148,250:146,255:129,270:110,275:100	0	False	0
efae-SAMN36766196	GT_2	59:14401,62:13908,65:13351,66:13313,67:12659,76:9705,89:6069,90:5881,97:5124,104:4178,105:4168,106:3958,108:3932,116:2470,120:2382,123:2106,143:1390,145:1248,148:1099,155:890,159:780,162:755,174:565,175:548,176:534,180:515,181:502,190:458,193:453,194:446,199:384,201:351,203:334,204:329,208:286,209:283,217:249,219:249,221:233,225:229,227:212,229:210,231:206,233:202,235:199,237:188,246:155,247:154,248:150,250:146,255:129,259:123,262:117,264:115,268:110,269:110,270:110,134:1514,136:1502,144:1309,149:1074,151:1040,153:978,163:715,173:602,183:498,195:445,210:283,224:231,238:184,260:123,274:101	4	-0.26447636296253973	9.155327202348936	0.8407390771743174	GT_4	80:8299,86:6385,91:5455,100:4523,110:3589,113:3290,115:2495,117:2461,156:852,162:755,165:695,176:534,182:500,185:492,194:446,202:348,203:334,206:307,208:286,209:283,218:249,220:235,221:233,223:231,225:229,228:212,229:210,233:202,239:183,240:175,244:163,245:160,248:150,250:146,254:134,257:125,259:123,262:117,264:115,267:111,268:110,269:110,271:108,163:715	4	-0.12588917515006987	5.831183902612423	0.6869601428359086	4	-0.443199891263207	16.165217098610594	0.6869601428352325	44:22032,53:16841,56:14706,58:14485,95:5197,124:1740,128:1642,129:1642,133:1514,135:1512,138:1477,141:1419,161:757,167:671,171:620,197:393,198:384,214:265,216:261,249:148,263:117,275:100	0	True	0
efae-SAMN36766196	GT_2	59:14401,62:13908,65:13351,66:13313,67:12659,76:9705,89:6069,90:5881,97:5124,104:4178,105:4168,106:3958,108:3932,116:2470,120:2382,123:2106,143:1390,145:1248,148:1099,155:890,159:780,162:755,174:565,175:548,176:534,180:515,181:502,190:458,193:453,194:446,199:384,201:351,203:334,204:329,208:286,209:283,217:249,219:249,221:233,225:229,227:212,229:210,231:206,233:202,235:199,237:188,246:155,247:154,248:150,250:146,255:129,259:123,262:117,264:115,268:110,269:110,270:110,134:1514,136:1502,144:1309,149:1074,151:1040,153:978,163:715,173:602,183:498,195:445,210:283,224:231,238:184,260:123,274:101	4	-0.26447636296253973	9.155327202348936	0.8407390771743174	GT_6	83:6848,121:2354,166:674,170:623,177:533,179:523,187:480,232:206,261:120,265:115,144:1309,149:1074	4	-0.005273238304605216	1.2105260818418762	4.405906912404538	4	-0.32258395441774246	11.530818736438661	0.8407390771735664	44:22032,53:16841,56:14706,58:14485,95:5197,124:1740,128:1642,129:1642,133:1514,135:1512,138:1477,141:1419,161:757,167:671,171:620,197:393,198:384,214:265,216:261,249:148,253:139,263:117,275:100	0	True	0
efae-SAMN36766196	GT_2	59:14401,62:13908,65:13351,66:13313,67:12659,76:9705,89:6069,90:5881,97:5124,104:4178,105:4168,106:3958,108:3932,116:2470,120:2382,123:2106,143:1390,145:1248,148:1099,155:890,159:780,162:755,174:565,175:548,176:534,180:515,181:502,190:458,193:453,194:446,199:384,201:351,203:334,204:329,208:286,209:283,217:249,219:249,221:233,225:229,227:212,229:210,231:206,233:202,235:199,237:188,246:155,247:154,248:150,250:146,255:129,259:123,262:117,264:115,268:110,269:110,270:110,134:1514,136:1502,144:1309,149:1074,151:1040,153:978,163:715,173:602,183:498,195:445,210:283,224:231,238:184,260:123,274:101	4	-0.26447636296253973	9.155327202348936	0.8407390771743174	GT_7	87:6174	4	0.0	0.2918836482409902	17.83533843644451	0	0	0	0		1	False	0
efae-SAMN36766196	GT_2	59:14401,62:13908,65:13351,66:13313,67:12659,76:9705,89:6069,90:5881,97:5124,104:4178,105:4168,106:3958,108:3932,116:2470,120:2382,123:2106,143:1390,145:1248,148:1099,155:890,159:780,162:755,174:565,175:548,176:534,180:515,181:502,190:458,193:453,194:446,199:384,201:351,203:334,204:329,208:286,209:283,217:249,219:249,221:233,225:229,227:212,229:210,231:206,233:202,235:199,237:188,246:155,247:154,248:150,250:146,255:129,259:123,262:117,264:115,268:110,269:110,270:110,134:1514,136:1502,144:1309,149:1074,151:1040,153:978,163:715,173:602,183:498,195:445,210:283,224:231,238:184,260:123,274:101	4	-0.26447636296253973	9.155327202348936	0.8407390771743174	GT_5	205:325,4:80650,128:1642,214:265,260:123,263:117	4	-0.0499396718074733	-0.019547283741258248	1.2705785301939363	4	-0.314416034770013	9.9566970474031	0.8407390771735663	154:948,158:798,164:704	0	True	0
efae-SAMN36766196	GT_4	80:8299,86:6385,91:5455,100:4523,110:3589,113:3290,115:2495,117:2461,156:852,162:755,165:695,176:534,182:500,185:492,194:446,202:348,203:334,206:307,208:286,209:283,218:249,220:235,221:233,223:231,225:229,228:212,229:210,233:202,239:183,240:175,244:163,245:160,248:150,250:146,254:134,257:125,259:123,262:117,264:115,267:111,268:110,269:110,271:108,163:715	4	-0.12588917515006987	5.831183902612423	0.6869601428359086	GT_6	83:6848,121:2354,166:674,170:623,177:533,179:523,187:480,232:206,261:120,265:115,144:1309,149:1074	4	-0.005273238304605216	1.2105260818418762	4.405906912404538	4	-0.2167951892328553	13.333529124536964	0.1021329560062441	44:22032,53:16841,56:14706,58:14485,59:14401,62:13908,65:13351,106:3958,109:3868,124:1740,125:1714,127:1678,128:1642,129:1642,133:1514,134:1514,135:1512,136:1502,138:1477,141:1419,147:1163,148:1099,150:1068,153:978,154:948,161:757,167:671,171:620,173:602,180:515,183:498,190:458,195:445,197:393,198:384,210:283,213:270,214:265,216:261,219:249,224:231,231:206,235:199,238:184,246:155,249:148,255:129,263:117,270:110,275:100	0	False	0
