SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN08768111	PBF_P1	242:182,142:411,59:5947,327:107	5	-0.10973994199765966	1.2089685399999999	1.1461650404956496	PBF_P2	47:15601,242:182,142:411,327:107	5	-0.1441049781813206	1.17772109	0.9702315528346955	5	-0.25384492017898025	2.6848704299999997	0.9702315528338659	328:107	0	True	0
ecol-SAMN08768111	PBF_P1	242:182,142:411,59:5947,327:107	5	-0.10973994199765966	1.2089685399999999	1.1461650404956496	PBF_P3	70:3062,239:184,218:210,265:162	4	0.0	0.54138412	1.2287282708142728	4	-0.5395720023184797	0.35993150000000007	1.146165040496271	92:1057,149:390,192:246,197:238,234:191	0	False	0
ecol-SAMN08768111	PBF_P1	242:182,142:411,59:5947,327:107	5	-0.10973994199765966	1.2089685399999999	1.1461650404956496	PBF_P4	75:2219,61:5159	4	-0.03056960499289646	0.4752168	1.263881810422641	5	-0.224791055983813	1.68418534	1.146165040496271		0	False	0
ecol-SAMN08768111	PBF_P1	242:182,142:411,59:5947,327:107	5	-0.10973994199765966	1.2089685399999999	1.1461650404956496	PBF_P5	55:7769	4	0.0	0.2510215	0.6141277316909928	0	0	0	0		1	False	0
ecol-SAMN08768111	PBF_P2	47:15601,242:182,142:411,327:107	5	-0.1441049781813206	1.17772109	0.9702315528346955	PBF_P3	70:3062,239:184,218:210,265:162	4	0.0	0.54138412	1.2287282708142728	4	-0.3974647725190417	1.71910521	0.9702315528338659		0	False	0
ecol-SAMN08768111	PBF_P2	47:15601,242:182,142:411,327:107	5	-0.1441049781813206	1.17772109	0.9702315528346955	PBF_P4	75:2219,61:5159	4	-0.03056960499289646	0.4752168	1.263881810422641	5	-0.4968694214672127	0.7794220279999999	0.9702315528338659	27:59131,92:1057,170:288,192:246	0	False	0
ecol-SAMN08768111	PBF_P2	47:15601,242:182,142:411,327:107	5	-0.1441049781813206	1.17772109	0.9702315528346955	PBF_P5	55:7769	4	0.0	0.2510215	0.6141277316909928	0	0	0	0		1	False	0
ecol-SAMN08768111	PBF_P3	70:3062,239:184,218:210,265:162	4	0.0	0.54138412	1.2287282708142728	PBF_P4	75:2219,61:5159	4	-0.03056960499289646	0.4752168	1.263881810422641	4	-0.22684792633614123	-0.65025982	1.2287282708148268	38:29892,100:818,104:771,129:518,213:216,307:131	0	False	0
ecol-SAMN08768111	PBF_P3	70:3062,239:184,218:210,265:162	4	0.0	0.54138412	1.2287282708142728	PBF_P5	55:7769	4	0.0	0.2510215	0.6141277316909928	0	0	0	0		1	False	0
ecol-SAMN08768111	PBF_P4	75:2219,61:5159	4	-0.03056960499289646	0.4752168	1.263881810422641	PBF_P5	55:7769	4	0.0	0.2510215	0.6141277316909928	0	0	0	0		1	False	0
