SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN34403761	GT_2	24:76683,30:57707,49:13288,55:7718,59:5164,61:3852,62:3289,66:2766,69:1708,73:1145,74:1120,77:1012,80:881,87:697,89:671,103:465,128:228,145:149,155:126,161:122,173:110,123:272,136:207,156:125,160:122,164:119,168:115,172:110	5	-0.9262009576308488	4.6579999999999995	0.9813488246865506	GT_3	35:42184,43:23000,47:15881,51:11012,52:10376,56:7104,57:5588,64:2951,65:2881,66:2766,67:2135,73:1145,80:881,84:713,89:671,103:465,109:366,118:288,128:228,143:161,145:149,150:137,154:127,155:126,161:122,173:110,76:1063,111:358,113:345,119:285,122:274,127:230,133:221,134:217,138:196,156:125,157:123,158:123,160:122,164:119,168:115,172:110,174:109,175:108,179:104,180:104	5	-2.030816799022021	2.3249999999999993	1.0427474638092264	5	-2.9570177566528697	6.982999999999999	0.9813488246873021		0	True	0
ecol-SAMN34403761	GT_2	24:76683,30:57707,49:13288,55:7718,59:5164,61:3852,62:3289,66:2766,69:1708,73:1145,74:1120,77:1012,80:881,87:697,89:671,103:465,128:228,145:149,155:126,161:122,173:110,123:272,136:207,156:125,160:122,164:119,168:115,172:110	5	-0.9262009576308488	4.6579999999999995	0.9813488246865506	GT_4	41:26393,42:25675,105:421,159:122,165:118,176:107	4	-0.16361188726077322	-0.045999999999999985	0.45564697511589175	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_2	24:76683,30:57707,49:13288,55:7718,59:5164,61:3852,62:3289,66:2766,69:1708,73:1145,74:1120,77:1012,80:881,87:697,89:671,103:465,128:228,145:149,155:126,161:122,173:110,123:272,136:207,156:125,160:122,164:119,168:115,172:110	5	-0.9262009576308488	4.6579999999999995	0.9813488246865506	GT_5	58:5166	4	0.0	0.482	8.729219882578231	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_2	24:76683,30:57707,49:13288,55:7718,59:5164,61:3852,62:3289,66:2766,69:1708,73:1145,74:1120,77:1012,80:881,87:697,89:671,103:465,128:228,145:149,155:126,161:122,173:110,123:272,136:207,156:125,160:122,164:119,168:115,172:110	5	-0.9262009576308488	4.6579999999999995	0.9813488246865506	GT_6	60:4076	4	0.0	0.31999999999999995	7.819743855000327	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_3	35:42184,43:23000,47:15881,51:11012,52:10376,56:7104,57:5588,64:2951,65:2881,66:2766,67:2135,73:1145,80:881,84:713,89:671,103:465,109:366,118:288,128:228,143:161,145:149,150:137,154:127,155:126,161:122,173:110,76:1063,111:358,113:345,119:285,122:274,127:230,133:221,134:217,138:196,156:125,157:123,158:123,160:122,164:119,168:115,172:110,174:109,175:108,179:104,180:104	5	-2.030816799022021	2.3249999999999993	1.0427474638092264	GT_4	41:26393,42:25675,105:421,159:122,165:118,176:107	4	-0.16361188726077322	-0.045999999999999985	0.45564697511589175	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_3	35:42184,43:23000,47:15881,51:11012,52:10376,56:7104,57:5588,64:2951,65:2881,66:2766,67:2135,73:1145,80:881,84:713,89:671,103:465,109:366,118:288,128:228,143:161,145:149,150:137,154:127,155:126,161:122,173:110,76:1063,111:358,113:345,119:285,122:274,127:230,133:221,134:217,138:196,156:125,157:123,158:123,160:122,164:119,168:115,172:110,174:109,175:108,179:104,180:104	5	-2.030816799022021	2.3249999999999993	1.0427474638092264	GT_5	58:5166	4	0.0	0.482	8.729219882578231	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_3	35:42184,43:23000,47:15881,51:11012,52:10376,56:7104,57:5588,64:2951,65:2881,66:2766,67:2135,73:1145,80:881,84:713,89:671,103:465,109:366,118:288,128:228,143:161,145:149,150:137,154:127,155:126,161:122,173:110,76:1063,111:358,113:345,119:285,122:274,127:230,133:221,134:217,138:196,156:125,157:123,158:123,160:122,164:119,168:115,172:110,174:109,175:108,179:104,180:104	5	-2.030816799022021	2.3249999999999993	1.0427474638092264	GT_6	60:4076	4	0.0	0.31999999999999995	7.819743855000327	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_4	41:26393,42:25675,105:421,159:122,165:118,176:107	4	-0.16361188726077322	-0.045999999999999985	0.45564697511589175	GT_5	58:5166	4	0.0	0.482	8.729219882578231	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_4	41:26393,42:25675,105:421,159:122,165:118,176:107	4	-0.16361188726077322	-0.045999999999999985	0.45564697511589175	GT_6	60:4076	4	0.0	0.31999999999999995	7.819743855000327	0	0	0	0		1	False	0
ecol-SAMN34403761	GT_5	58:5166	4	0.0	0.482	8.729219882578231	GT_6	60:4076	4	0.0	0.31999999999999995	7.819743855000327	0	0	0	0		1	False	0
