SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	4	0.0	1.128	0.6169940895069885	Contig:131:106.611:559,Contig:14:63.5594:721,Contig:101:66.505:5p:1:104:120,Contig:139:61.1798:3p:1:5:463	0	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	4	-0.24053786617107978	4.259	0.8953703264596697	Contig:116:63.6293:15094,Contig:84:104.595:519	0	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	4	-0.28231446816605776	2.3389999999999995	0.9245712439060298	Contig:114:308.121:775,Contig:41:77.4919:7738,Contig:44:271.893:820,Contig:50:68.9863:2214,Contig:101:66.505:5p:1:33:304,Contig:10:52.9039:3p:1:4:437	0	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	4	-0.011800784535118625	2.013	0.9245712439042109		0	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA179	Contig:100:128.521:1520,Contig:111:134.513:2909,Contig:117:86.1981:11642,Contig:18:95.1191:4332,Contig:35:106.887:4127,Contig:49:55.719:14967,Contig:80:86.9946:11308,Contig:93:72.1406:5310	4	0.0	1.797	0.9245712439050341	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AC510	Contig:105:340.55:8315,Contig:106:287.225:8805	4	0.0	0.781	3.827263121555873	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	4	-0.2569624686751789	1.8519999999999999	0.4559069376991829	Contig:100:128.521:1520,Contig:102:54.9928:44974,Contig:116:63.6293:15094,Contig:117:86.1981:11642,Contig:84:104.595:519,Contig:101:66.505:5p:1:97:768	0	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	4	-0.2025930266160758	0.38999999999999996	0.6169940895069885	Contig:21:71.9726:15370,Contig:44:271.893:820,Contig:101:66.505:5p:1:85:189	0	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	4	-0.12890267228881333	-0.304	0.6169940895069885	Contig:114:308.121:775,Contig:21:71.9726:15370,Contig:35:106.887:4127,Contig:41:77.4919:7738,Contig:44:271.893:820,Contig:50:68.9863:2214,Contig:101:66.505:5p:1:33:304,Contig:101:66.505:5p:1:35:464,Contig:101:66.505:5p:1:63:306,Contig:101:66.505:5p:1:85:189,Contig:10:52.9039:3p:1:4:437	0	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA378	Contig:110:252.705:1026,Contig:72:42.7884:98147,Contig:89:349.297:1121,Contig:94:41.8717:1484	4	0.0	-0.065	0.6169940895076061	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	4	-0.5392769368412367	2.994	0.4559069376991829	Contig:100:128.521:1520,Contig:114:308.121:775,Contig:116:63.6293:15094,Contig:117:86.1981:11642,Contig:34:61.1446:2823,Contig:44:271.893:820,Contig:50:68.9863:2214,Contig:84:104.595:519,Contig:101:66.505:5p:1:97:768	0	False	0
ecol-SAMN29499312	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	4	-0.25233865070619843	2.6479999999999997	0.8953703264596697	Contig:100:128.521:1520,Contig:116:63.6293:15094,Contig:84:104.595:519	0	False	0
ecol-SAMN29499312	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA281	Contig:112:61.0398:18833,Contig:112:61.0398:5p:1:22:1362,Contig:113:62.4917:8974,Contig:129:66.8583:12146,Contig:130:60.1401:1476,Contig:27:73.1308:7081,Contig:36:68.4575:12455,Contig:40:80.1257:6353,Contig:61:54.1451:5542,Contig:66:174.296:1310,Contig:67:109.2:1716,Contig:68:75.1648:18825,Contig:75:58.7683:49032	4	-0.20919669660233417	2.088	0.8953703264602981	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	4	-0.33149569890488917	0.9059999999999999	0.9866198137189531	Contig:114:308.121:775,Contig:35:106.887:4127,Contig:41:77.4919:7738,Contig:44:271.893:820,Contig:50:68.9863:2214,Contig:101:66.505:5p:1:33:304,Contig:101:66.505:5p:1:35:464,Contig:101:66.505:5p:1:63:306,Contig:10:52.9039:3p:1:4:437	0	False	0
ecol-SAMN29499312	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA038	Contig:118:104.097:2095,Contig:140:92.8142:42600	5	-0.11139739055160852	0.5499999999999999	1.590506612191811	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA314	Contig:125:77.7783:27657,Contig:42:59.459:3131	4	-0.011800784535118625	0.21599999999999997	0.9866198137189726	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA579	Contig:1:339.87:Circ:5594,Contig:3:405.392:Circ:4073	4	0.0	0.63	4.60524940216775	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA163	Contig:2:478.961:Circ:3375	5	0.0	0.389	7.817415784077053	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
ecol-SAMN29499312	MOB_AA577	Contig:4:308.378:Circ:8038	4	0.0	0.30600000000000005	5.113118525252325	MOB_AB241	Contig:5:1366.9:Circ:2096	5	0.0	0.41400000000000003	22.83273112091799	0	0	0	0		1	False	0
