SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN23416908	MOB_AC715	30:9384,32:6752,44:2650,54:1087	4	0.0	-1.5055753989999998	1.1109861814920854	MOB_AC163	31:8731,49:1703,55:1008	4	0.0	-0.27099927	2.313931096338402	4	0.0	-1.776574669	1.11098618149299		0	False	0
abau-SAMN23416908	MOB_AC715	30:9384,32:6752,44:2650,54:1087	4	0.0	-1.5055753989999998	1.1109861814920854	MOB_AF972	38:4546,41:3194,42:2831,45:2183,47:1900,52:1362,53:1319	4	0.0	-3.3767711727	0.9483824263023792	4	0.0	-5.7669198026999995	0.9482590796797012	10:174766,56:940	0	False	0
abau-SAMN23416908	MOB_AC715	30:9384,32:6752,44:2650,54:1087	4	0.0	-1.5055753989999998	1.1109861814920854	MOB_AB878	43:2725	4	0.0	0.49972629999999996	4.236600648327733	0	0	0	0		1	False	0
abau-SAMN23416908	MOB_AC715	30:9384,32:6752,44:2650,54:1087	4	0.0	-1.5055753989999998	1.1109861814920854	MOB_AB879	46:2178	4	0.0	0.49965155000000006	4.286947613880599	0	0	0	0		1	False	0
abau-SAMN23416908	MOB_AC163	31:8731,49:1703,55:1008	4	0.0	-0.27099927	2.313931096338402	MOB_AF972	38:4546,41:3194,42:2831,45:2183,47:1900,52:1362,53:1319	4	0.0	-3.3767711727	0.9483824263023792	4	0.0	-4.1348602857	0.9335937634077709	35:5426	0	False	0
abau-SAMN23416908	MOB_AC163	31:8731,49:1703,55:1008	4	0.0	-0.27099927	2.313931096338402	MOB_AB878	43:2725	4	0.0	0.49972629999999996	4.236600648327733	0	0	0	0		1	False	0
abau-SAMN23416908	MOB_AC163	31:8731,49:1703,55:1008	4	0.0	-0.27099927	2.313931096338402	MOB_AB879	46:2178	4	0.0	0.49965155000000006	4.286947613880599	0	0	0	0		1	False	0
abau-SAMN23416908	MOB_AF972	38:4546,41:3194,42:2831,45:2183,47:1900,52:1362,53:1319	4	0.0	-3.3767711727	0.9483824263023792	MOB_AB878	43:2725	4	0.0	0.49972629999999996	4.236600648327733	0	0	0	0		1	False	0
abau-SAMN23416908	MOB_AF972	38:4546,41:3194,42:2831,45:2183,47:1900,52:1362,53:1319	4	0.0	-3.3767711727	0.9483824263023792	MOB_AB879	46:2178	4	0.0	0.49965155000000006	4.286947613880599	0	0	0	0		1	False	0
abau-SAMN23416908	MOB_AB878	43:2725	4	0.0	0.49972629999999996	4.236600648327733	MOB_AB879	46:2178	4	0.0	0.49965155000000006	4.286947613880599	0	0	0	0		1	False	0
