SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_2	Contig:14:57.7531:3p:1:3:631	4	0.0	0.0	1.2586511437192436	4	-0.16767763720995366	-2.4792339897193147	0.5882867813852499	Contig:14:57.7531:36106,Contig:21:102.032:2595,Contig:22:109.276:1324,Contig:24:60.3078:42303,Contig:36:81.5544:1220,Contig:60:362.744:1250,Contig:62:51.9801:662445,Contig:18:110.316:3p:1:2:373,Contig:24:60.3078:3p:1:5:532	0	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_3	Contig:53:52.2933:3p:1:7:481	5	0.0	0.0	0.7330575971618838	5	-0.2523410610579529	-2.0485495792048756	0.5882867813852499	Contig:11:96.333:1218,Contig:21:102.032:2595,Contig:22:109.276:1324,Contig:25:59.5789:64290,Contig:36:81.5544:1220,Contig:53:52.2933:657915,Contig:18:110.316:3p:1:2:373,Contig:53:52.2933:3p:1:4:233	0	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_4	Contig:53:52.2933:3p:1:8:170	5	0.0	0.0	1.5020661893923835	5	-0.2523410610579529	-2.0485495792048756	0.5882867813852499	Contig:11:96.333:1218,Contig:21:102.032:2595,Contig:22:109.276:1324,Contig:25:59.5789:64290,Contig:36:81.5544:1220,Contig:53:52.2933:657915,Contig:18:110.316:3p:1:2:373,Contig:53:52.2933:3p:1:4:233	0	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_5	Contig:56:117.254:5p:1:3:907	5	0.0	0.0	0.9879720864448158	4	-0.2611519668402018	-1.3934936286170445	0.5882867813852499	Contig:21:102.032:2595,Contig:22:109.276:1324,Contig:24:60.3078:42303,Contig:35:96.883:643,Contig:36:81.5544:1220,Contig:55:59.4297:63459,Contig:18:110.316:3p:1:2:373,Contig:24:60.3078:3p:1:5:532	0	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_6	Contig:56:117.254:5p:1:4:907	5	0.0	0.0	1.0274710711697495	4	-0.25795477558373237	-1.3934936286170445	0.5882867813852499	Contig:21:102.032:2595,Contig:22:109.276:1324,Contig:24:60.3078:42303,Contig:35:96.883:643,Contig:36:81.5544:1220,Contig:55:59.4297:63459,Contig:18:110.316:3p:1:2:373,Contig:24:60.3078:3p:1:5:532	0	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_7	Contig:7:363.961:5p:1:2:352	4	0.0	0.0	5.0556185783237115	5	-0.24838484986347176	-1.8318704262143837	0.5882867813852499	Contig:37:74.8586:22426,Contig:46:71.4337:2200,Contig:48:105.368:1260,Contig:7:363.961:2720,Contig:33:62.9559:3p:1:6:186,Contig:33:62.9559:3p:1:10:135,Contig:45:79.6573:3p:1:3:141	0	False	0
ecol-SAMN32977649	GP_unb_1	Contig:18:110.316:856	4	0.0	0.0	0.5882867813851793	GP_unb_8	Contig:7:363.961:5p:1:11:280	4	0.0	0.0	3.0959024223804965	4	-0.25744576805987185	-1.8318704262143837	0.5882867813852499	Contig:37:74.8586:22426,Contig:46:71.4337:2200,Contig:48:105.368:1260,Contig:7:363.961:2720,Contig:33:62.9559:3p:1:6:186,Contig:33:62.9559:3p:1:10:135,Contig:45:79.6573:3p:1:3:141,Contig:7:363.961:5p:1:4:203	0	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_2	Contig:14:57.7531:3p:1:3:631	4	0.0	0.0	1.2586511437192436	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_3	Contig:53:52.2933:3p:1:7:481	5	0.0	0.0	0.7330575971618838	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_4	Contig:53:52.2933:3p:1:8:170	5	0.0	0.0	1.5020661893923835	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_5	Contig:56:117.254:5p:1:3:907	5	0.0	0.0	0.9879720864448158	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_6	Contig:56:117.254:5p:1:4:907	5	0.0	0.0	1.0274710711697495	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_7	Contig:7:363.961:5p:1:2:352	4	0.0	0.0	5.0556185783237115	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_0	Contig:2:22140.1:Circ:1919	4	0.0	0.08443615991693099	293.2385903818857	GP_unb_8	Contig:7:363.961:5p:1:11:280	4	0.0	0.0	3.0959024223804965	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_2	Contig:14:57.7531:3p:1:3:631	4	0.0	0.0	1.2586511437192436	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_3	Contig:53:52.2933:3p:1:7:481	5	0.0	0.0	0.7330575971618838	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_4	Contig:53:52.2933:3p:1:8:170	5	0.0	0.0	1.5020661893923835	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_5	Contig:56:117.254:5p:1:3:907	5	0.0	0.0	0.9879720864448158	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_6	Contig:56:117.254:5p:1:4:907	5	0.0	0.0	1.0274710711697495	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_7	Contig:7:363.961:5p:1:2:352	4	0.0	0.0	5.0556185783237115	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_1	Contig:3:14598.1:Circ:3173	4	0.0	0.49742673471298604	200.41346071815198	GP_unb_8	Contig:7:363.961:5p:1:11:280	4	0.0	0.0	3.0959024223804965	0	0	0	0		1	False	0
ecol-SAMN32977649	GP_unb_2	Contig:14:57.7531:3p:1:3:631	4	0.0	0.0	1.2586511437192436	GP_unb_3	Contig:53:52.2933:3p:1:7:481	5	0.0	0.0	0.7330575971618838	5	-0.1587420087991419	-0.4734300824103446	0.7330575971627695	Contig:32:52.6335:232513,Contig:14:57.7531:3p:1:1:121,Contig:14:57.7531:3p:1:4:631,Contig:53:52.2933:3p:1:4:233	0	False	0
