SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN37529176	MOB_AA338	28:68395,68:7958,71:7134,90:1057	5	-0.012420993407221165	0.68995699	1.3481895462878366	MOB_AA019	65:8844,67:8154,74:6136,81:2520	5	-0.05137611074475859	1.8382933499999998	1.9637197475416104	5	-0.32814111141321456	4.94197884	1.3481895462900866	91:820,96:474,107:295,115:192,119:155	0	False	0
kpne-SAMN37529176	MOB_AA338	28:68395,68:7958,71:7134,90:1057	5	-0.012420993407221165	0.68995699	1.3481895462878366	MOB_AC129	75:5949	5	0.0	0.49889445	10.42670055489297	5	-0.276765000668456	3.6025799400000005	1.3481895462882676	91:820,96:474,107:295,115:192,119:155	0	False	0
kpne-SAMN37529176	MOB_AA338	28:68395,68:7958,71:7134,90:1057	5	-0.012420993407221165	0.68995699	1.3481895462878366	MOB_AA103	79:3623	4	0.0	0.49925864	14.106781076704214	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AA338	28:68395,68:7958,71:7134,90:1057	5	-0.012420993407221165	0.68995699	1.3481895462878366	MOB_AA118	80:3445	4	0.0	0.4993446	14.776345778810326	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AA338	28:68395,68:7958,71:7134,90:1057	5	-0.012420993407221165	0.68995699	1.3481895462878366	MOB_AB045	82:2452	4	0.0	0.4981848	12.631516433071093	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AA019	65:8844,67:8154,74:6136,81:2520	5	-0.05137611074475859	1.8382933499999998	1.9637197475416104	MOB_AC129	75:5949	5	0.0	0.49889445	10.42670055489297	4	-0.11635829474312384	4.7509163	1.9637197475422	91:820,96:474,107:295,115:192,119:155	0	False	0
kpne-SAMN37529176	MOB_AA019	65:8844,67:8154,74:6136,81:2520	5	-0.05137611074475859	1.8382933499999998	1.9637197475416104	MOB_AA103	79:3623	4	0.0	0.49925864	14.106781076704214	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AA019	65:8844,67:8154,74:6136,81:2520	5	-0.05137611074475859	1.8382933499999998	1.9637197475416104	MOB_AA118	80:3445	4	0.0	0.4993446	14.776345778810326	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AA019	65:8844,67:8154,74:6136,81:2520	5	-0.05137611074475859	1.8382933499999998	1.9637197475416104	MOB_AB045	82:2452	4	0.0	0.4981848	12.631516433071093	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AC129	75:5949	5	0.0	0.49889445	10.42670055489297	MOB_AA103	79:3623	4	0.0	0.49925864	14.106781076704214	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AC129	75:5949	5	0.0	0.49889445	10.42670055489297	MOB_AA118	80:3445	4	0.0	0.4993446	14.776345778810326	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AC129	75:5949	5	0.0	0.49889445	10.42670055489297	MOB_AB045	82:2452	4	0.0	0.4981848	12.631516433071093	0	0	0	0		1	False	0
kpne-SAMN37529176	MOB_AA103	79:3623	4	0.0	0.49925864	14.106781076704214	MOB_AA118	80:3445	4	0.0	0.4993446	14.776345778810326	4	-0.2752092052513325	2.4969466999999996	14.106781076703555	109:278,120:152,128:114	0	False	0
kpne-SAMN37529176	MOB_AA103	79:3623	4	0.0	0.49925864	14.106781076704214	MOB_AB045	82:2452	4	0.0	0.4981848	12.631516433071093	5	-0.4343676915092438	6.3990279	12.631516433077195	94:570,99:387,101:343,102:335,104:312,109:278,113:266,114:215,120:152,128:114,131:100	0	False	0
kpne-SAMN37529176	MOB_AA118	80:3445	4	0.0	0.4993446	14.776345778810326	MOB_AB045	82:2452	4	0.0	0.4981848	12.631516433071093	5	-0.41698356129815684	6.39911386	12.631516433071738	94:570,99:387,101:343,102:335,104:312,109:278,113:266,114:215,120:152,128:114,131:100	0	False	0
