SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN14226727	PBF_P1	24:11069	4	0.0	0.21499999999999997	8.512045980388557	PBF_P2	29:2696,47:531,30:1942	3	-0.029520188486152565	0.41859999999999997	6.4134837856696905	4	-0.03212815273400299	0.6335999999999999	6.4134837856690865		0	False	0
abau-SAMN14226727	PBF_P1	24:11069	4	0.0	0.21499999999999997	8.512045980388557	PBF_P3	39:684,59:210,36:1162,37:1012,31:1915,16:84925,27:3237,23:16108,41:609	5	-0.22318285948173572	1.9192	0.9078298872525615	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P1	24:11069	4	0.0	0.21499999999999997	8.512045980388557	PBF_P4	25:5869,35:1180	4	0.0	0.2784	1.0587425171691947	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P1	24:11069	4	0.0	0.21499999999999997	8.512045980388557	PBF_P5	39:684,59:210,36:1162,16:84925,27:3237,41:609	5	-0.0733068566761268	1.2671999999999999	0.9950819519355615	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P1	24:11069	4	0.0	0.21499999999999997	8.512045980388557	PBF_P6	39:684,27:3237	5	0.0	0.237	1.876299166330016	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P2	29:2696,47:531,30:1942	3	-0.029520188486152565	0.41859999999999997	6.4134837856696905	PBF_P3	39:684,59:210,36:1162,37:1012,31:1915,16:84925,27:3237,23:16108,41:609	5	-0.22318285948173572	1.9192	0.9078298872525615	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P2	29:2696,47:531,30:1942	3	-0.029520188486152565	0.41859999999999997	6.4134837856696905	PBF_P4	25:5869,35:1180	4	0.0	0.2784	1.0587425171691947	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P2	29:2696,47:531,30:1942	3	-0.029520188486152565	0.41859999999999997	6.4134837856696905	PBF_P5	39:684,59:210,36:1162,16:84925,27:3237,41:609	5	-0.0733068566761268	1.2671999999999999	0.9950819519355615	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P2	29:2696,47:531,30:1942	3	-0.029520188486152565	0.41859999999999997	6.4134837856696905	PBF_P6	39:684,27:3237	5	0.0	0.237	1.876299166330016	0	0	0	0		1	False	0
abau-SAMN14226727	PBF_P3	39:684,59:210,36:1162,37:1012,31:1915,16:84925,27:3237,23:16108,41:609	5	-0.22318285948173572	1.9192	0.9078298872525615	PBF_P4	25:5869,35:1180	4	0.0	0.2784	1.0587425171691947	5	-0.5581101981042265	2.1976	0.9078298872518644		0	False	0
abau-SAMN14226727	PBF_P3	39:684,59:210,36:1162,37:1012,31:1915,16:84925,27:3237,23:16108,41:609	5	0	0	0	PBF_P5	39:684,59:210,36:1162,16:84925,27:3237,41:609	5	0	0	0	0	0	0	0	[]	0	1	1
abau-SAMN14226727	PBF_P3	39:684,59:210,36:1162,37:1012,31:1915,16:84925,27:3237,23:16108,41:609	5	0	0	0	PBF_P6	39:684,27:3237	5	0	0	0	0	0	0	0	[]	0	1	1
abau-SAMN14226727	PBF_P4	25:5869,35:1180	4	0.0	0.2784	1.0587425171691947	PBF_P5	39:684,59:210,36:1162,16:84925,27:3237,41:609	5	-0.0733068566761268	1.2671999999999999	0.9950819519355615	5	-0.4082341952986176	1.5455999999999999	0.9950819519362994		0	False	0
abau-SAMN14226727	PBF_P4	25:5869,35:1180	4	0.0	0.2784	1.0587425171691947	PBF_P6	39:684,27:3237	5	0.0	0.237	1.876299166330016	5	-0.3349273386224908	0.33259999999999995	1.0587425171688665	51:363	0	False	0
abau-SAMN14226727	PBF_P5	39:684,59:210,36:1162,16:84925,27:3237,41:609	5	0	0	0	PBF_P6	39:684,27:3237	5	0	0	0	0	0	0	0	[]	0	1	1
