SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	4	-0.6704508793972658	7.788332470000002	0.43732934558465786		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_1	89:2073,90:2058,95:1682,116:865,131:539,168:289,179:257,210:184,230:158,278:107,285:103,289:100	5	-0.8257249937360827	2.29914115	0.392636832140965	4	-3.0531614407252614	9.124887680000002	0.39263683214085177	43:37503,151:377,191:236	0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_2	143:421	5	0.0	0.4209602	5.370955611294094	4	-0.6782827593417585	8.041667120000001	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_3	144:414	5	0.0	0.28104544	2.5675270933030823	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_4	146:398	5	0.0	0.25867057000000004	2.5650492199280506	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_5	149:385	4	0.0	0.3956927	1.60758546335644	4	-0.5953292855158998	8.016399620000001	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_6	159:347	4	0.0	0.11415993999999996	0.5860598493577512	4	-0.5953292855158998	7.734866860000002	0.5860598493582074		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_7	162:337	4	0.0	0.27568539999999997	6.777567420371901	4	-0.7272580481199968	6.843108910000002	0.5940069133903307	61:12458,126:582,165:305,241:143,270:114	0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_8	180:253	4	0.0	0.022200470000000028	0.9602943192385639	4	-0.5953292855158998	7.642907390000001	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_9	181:248	4	0.0	0.4225485	1.792698333895247	4	-0.5953292855158998	8.043255420000001	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_10	206:199	5	0.0	0.16048209999999996	8.582792105545902	4	-0.7836661319698842	8.014313280000001	0.5940069133903307	201:211	0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_11	218:173	5	0.0	0.25497879999999995	3.29251308764741	4	-0.6028747497018228	7.875685720000002	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_12	221:169	4	0.0	0.07176362999999997	0.9677523331764916	4	-0.6600455131166936	7.425750840000001	0.5940069133903307	135:484	0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_13	249:138	5	0.0	0.19283545000000002	1.9279317997413963	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_14	252:134	4	0.0	0.2812053	2.069926753633605	4	-0.5953292855158998	7.901912220000002	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_15	254:131	4	0.0	0.0745654	0.7454234914471809	4	-0.5953292855158998	7.695272320000002	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_16	255:130	4	0.0	0.09141314	1.786162846271549	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_17	256:129	4	0.0	0.291029	5.240394055818399	4	-0.5953292855158998	7.911735920000002	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_18	258:128	4	0.0	0.3010043	3.710932492562363	4	-0.5953292855158998	7.9217112200000015	0.5940069133903307		0	False	0
ecol-SAMN21036792	GP_0	30:54996,55:19700,63:11929,65:11844,66:8972,67:8971,69:8471,79:4107,82:3653,83:3499,86:2768,92:1894,94:1749,98:1489,101:1367,103:1336,110:1174,112:1028,113:986,114:911,117:822,120:695,121:695,136:469,139:435,150:384,158:349,183:247,185:245,194:233,205:199,207:196,236:151,238:149,268:116,274:111	4	-0.5953292855158998	7.620706920000002	0.5940069133899694	GP_unb_19	275:110	5	0.0	0.33021480000000003	2.068507767375172	5	-2.258312104549149	8.362684330000002	0.5940069133903307	39:43352,46:32089,179:257,230:158,261:123,278:107,285:103,289:100	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_1	89:2073,90:2058,95:1682,116:865,131:539,168:289,179:257,210:184,230:158,278:107,285:103,289:100	5	-0.8257249937360827	2.29914115	0.392636832140965	5	-2.0751596216526482	4.688313250000001	0.053132328805785896	30:54996,40:43346,43:37503,65:11844,66:8972,69:8471,77:4402,79:4107,94:1749,110:1174,112:1028,113:986,117:822,136:469,139:435,151:377,158:349,177:261,183:247,185:245,191:236,194:233,205:199,207:196,233:154	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_2	143:421	5	0.0	0.4209602	5.370955611294094	4	-0.5728225107039167	3.451571489999999	0.05313232880507715	40:43346,65:11844,66:8972,77:4402,79:4107,83:3499,94:1749,110:1174,112:1028,113:986,117:822,136:469,139:435,158:349,177:261,183:247,194:233,205:199,207:196,233:154	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_3	144:414	5	0.0	0.28104544	2.5675270933030823	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_4	146:398	5	0.0	0.25867057000000004	2.5650492199280506	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_5	149:385	4	0.0	0.3956927	1.60758546335644	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_6	159:347	4	0.0	0.11415993999999996	0.5860598493577512	4	-0.5354711543777706	3.2642542160000003	0.05313232880507712	9:131849,27:57888,65:11844,79:4107,83:3499,94:1749,110:1174,112:1028,113:986,114:911,117:822,120:695,136:469,139:435,158:349,177:261,183:247,205:199,207:196,233:154,268:116,274:111	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_7	162:337	4	0.0	0.27568539999999997	6.777567420371901	4	-0.6770071264892723	1.3072736369999998	0.05313232880507712	65:11844,66:8972,68:8628,70:6855,77:4402,79:4107,83:3499,110:1174,112:1028,113:986,114:911,117:822,126:582,136:469,139:435,158:349,163:327,177:261,183:247,205:199,207:196,226:165,233:154,270:114	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_8	180:253	4	0.0	0.022200470000000028	0.9602943192385639	4	-0.5311771915628207	2.7382162460000004	0.05313232880507712	9:131849,27:57888,65:11844,79:4107,83:3499,94:1749,110:1174,112:1028,113:986,114:911,117:822,136:469,139:435,158:349,177:261,183:247,205:199,207:196,233:154,268:116	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_9	181:248	4	0.0	0.4225485	1.792698333895247	4	-0.756958157893935	3.1378422599999998	0.05313232880507712	40:43346,43:37503,55:19700,65:11844,66:8972,69:8471,77:4402,79:4107,94:1749,110:1174,113:986,117:822,136:469,139:435,151:377,158:349,168:289,177:261,183:247,185:245,191:236,194:233,205:199,207:196,233:154,238:149	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_10	206:199	5	0.0	0.16048209999999996	8.582792105545902	5	-0.29783424972283157	2.6959574499999994	0.21667142131991568	30:54996,79:4107,110:1174,112:1028,113:986,139:435,201:211,205:199	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_11	218:173	5	0.0	0.25497879999999995	3.29251308764741	4	-0.4974145010639808	3.2031551599999997	0.05313232880507712	65:11844,66:8972,77:4402,79:4107,83:3499,110:1174,112:1028,113:986,114:911,117:822,136:469,139:435,158:349,177:261,183:247,205:199,207:196,233:154	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_12	221:169	4	0.0	0.07176362999999997	0.9677523331764916	5	-0.46680915435757653	1.00079047	0.36611327437640284	30:54996,81:3692,110:1174,112:1028,113:986,135:484,142:422,205:199,236:151	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_13	249:138	5	0.0	0.19283545000000002	1.9279317997413963	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_14	252:134	4	0.0	0.2812053	2.069926753633605	4	-0.45133592255848315	2.161380176	0.05313232880507712	9:131849,19:78732,64:11898,65:11844,82:3653,83:3499,94:1749,99:1481,103:1336,110:1174,112:1028,113:986,114:911,117:822,136:469,158:349,177:261,183:247,197:224,205:199,207:196	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_15	254:131	4	0.0	0.0745654	0.7454234914471809	4	-0.5203897539467178	2.8531169699999994	0.05313232880507712	65:11844,66:8972,68:8628,79:4107,83:3499,94:1749,110:1174,112:1028,113:986,114:911,117:822,136:469,139:435,158:349,163:327,177:261,183:247,205:199,207:196,233:154	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_16	255:130	4	0.0	0.09141314	1.786162846271549	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_17	256:129	4	0.0	0.291029	5.240394055818399	4	-0.6566922238931986	1.7826218660000004	0.05313232880507712	9:131849,19:78732,65:11844,79:4107,83:3499,94:1749,100:1466,101:1367,110:1174,112:1028,113:986,114:911,117:822,136:469,139:435,158:349,177:261,183:247,197:224,205:199,207:196,231:158,233:154,269:115	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_18	258:128	4	0.0	0.3010043	3.710932492562363	4	-0.4898690368780579	3.29032796	0.05313232880507712	65:11844,66:8972,77:4402,79:4107,83:3499,94:1749,110:1174,112:1028,113:986,117:822,136:469,139:435,158:349,177:261,183:247,205:199,207:196,233:154	0	False	0
ecol-SAMN21036792	GP_unb_1	78:4141	5	0.0	0.16762555	0.4373293455852634	GP_unb_19	275:110	5	0.0	0.33021480000000003	2.068507767375172	5	-1.5804792461527883	4.56540994	0.05313232880507712	30:54996,40:43346,43:37503,65:11844,66:8972,69:8471,77:4402,79:4107,94:1749,95:1682,110:1174,112:1028,113:986,117:822,131:539,136:469,139:435,151:377,158:349,168:289,177:261,179:257,183:247,185:245,191:236,194:233,205:199,207:196,210:184,230:158,233:154,278:107,285:103,289:100	0	False	0
ecol-SAMN21036792	GP_1	89:2073,90:2058,95:1682,116:865,131:539,168:289,179:257,210:184,230:158,278:107,285:103,289:100	5	-0.8257249937360827	2.29914115	0.392636832140965	GP_unb_2	143:421	5	0.0	0.4209602	5.370955611294094	5	-1.9238844342788348	4.190128905000001	0.05313232880507712	26:58329,30:54996,39:43352,40:43346,57:17276,65:11844,66:8972,77:4402,79:4107,94:1749,110:1174,112:1028,113:986,117:822,136:469,139:435,158:349,177:261,183:247,194:233,196:229,205:199,207:196,261:123	0	False	0
ecol-SAMN21036792	GP_1	89:2073,90:2058,95:1682,116:865,131:539,168:289,179:257,210:184,230:158,278:107,285:103,289:100	5	-0.8257249937360827	2.29914115	0.392636832140965	GP_unb_3	144:414	5	0.0	0.28104544	2.5675270933030823	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_1	89:2073,90:2058,95:1682,116:865,131:539,168:289,179:257,210:184,230:158,278:107,285:103,289:100	5	-0.8257249937360827	2.29914115	0.392636832140965	GP_unb_4	146:398	5	0.0	0.25867057000000004	2.5650492199280506	0	0	0	0		1	False	0
ecol-SAMN21036792	GP_1	89:2073,90:2058,95:1682,116:865,131:539,168:289,179:257,210:184,230:158,278:107,285:103,289:100	5	-0.8257249937360827	2.29914115	0.392636832140965	GP_unb_5	149:385	4	0.0	0.3956927	1.60758546335644	0	0	0	0		1	False	0
