SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN15488721	MOB_AC662	33:57787	4	0.0	0.4999999999874448	2.637959197706334	MOB_AA348	50:24038,58:14651,61:10315,64:8044,65:7147,66:6549,70:3760,74:2661,75:2519	4	-0.4234339972966834	3.7460784910949894	1.5425082009782303	4	-0.5335733115168054	5.3064445694419025	0.9224575995540363	60:10715,81:1342,112:251,116:244,118:224,120:202,132:140	0	False	0
ecol-SAMN15488721	MOB_AC662	33:57787	4	0.0	0.4999999999874448	2.637959197706334	MOB_AA172	59:12724,69:3919,82:1303	4	-0.14535722146449903	1.2268430590958448	1.8816550455817744	5	-1.2783151332984077	10.61823267113921	0.3116596426043543	38:46492,50:24038,60:10715,61:10315,65:7147,66:6549,70:3760,74:2661,75:2519,78:2415,81:1342,84:1225,87:961,88:926,94:617,95:609,97:486,99:422,103:374,106:357,109:282,110:257,112:251,113:249,116:244,118:224,120:202,122:199,124:176,126:158,132:140,135:137	0	False	0
ecol-SAMN15488721	MOB_AC662	33:57787	4	0.0	0.4999999999874448	2.637959197706334	MOB_AA476	62:10128	5	0.0	0.49805888615176297	2.7955070978309675	5	-0.8005224371815449	9.12805402126189	0.9121419361144945	38:46492,54:16896,61:10315,66:6549,74:2661,75:2519,78:2415,84:1225,87:961,88:926,94:617,95:609,97:486,99:422,103:374,106:357,109:282,110:257,113:249,124:176,126:158,129:144	0	False	0
ecol-SAMN15488721	MOB_AC662	33:57787	4	0.0	0.4999999999874448	2.637959197706334	MOB_AA579	68:4074	4	0.0	0.38735555050781645	62.61062263142534	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AC662	33:57787	4	0.0	0.4999999999874448	2.637959197706334	MOB_AA667	73:3319	4	0.0	0.40065728523766964	68.36048026873327	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA348	50:24038,58:14651,61:10315,64:8044,65:7147,66:6549,70:3760,74:2661,75:2519	4	-0.4234339972966834	3.7460784910949894	1.5425082009782303	MOB_AA172	59:12724,69:3919,82:1303	4	-0.14535722146449903	1.2268430590958448	1.8816550455817744	4	-0.8674268246598666	8.64934524303049	1.542508200978773	54:16896,78:2415,83:1234,87:961,106:357,109:282,114:249,126:158,129:144	0	False	0
ecol-SAMN15488721	MOB_AA348	50:24038,58:14651,61:10315,64:8044,65:7147,66:6549,70:3760,74:2661,75:2519	4	-0.4234339972966834	3.7460784910949894	1.5425082009782303	MOB_AA476	62:10128	5	0.0	0.49805888615176297	2.7955070978309675	5	-0.8858199344497668	7.747552681980817	1.542508200978773	54:16896,78:2415,84:1225,87:961,99:422,106:357,109:282,114:249,122:199,126:158,129:144	0	False	0
ecol-SAMN15488721	MOB_AA348	50:24038,58:14651,61:10315,64:8044,65:7147,66:6549,70:3760,74:2661,75:2519	4	-0.4234339972966834	3.7460784910949894	1.5425082009782303	MOB_AA579	68:4074	4	0.0	0.38735555050781645	62.61062263142534	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA348	50:24038,58:14651,61:10315,64:8044,65:7147,66:6549,70:3760,74:2661,75:2519	4	-0.4234339972966834	3.7460784910949894	1.5425082009782303	MOB_AA667	73:3319	4	0.0	0.40065728523766964	68.36048026873327	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA172	59:12724,69:3919,82:1303	4	-0.14535722146449903	1.2268430590958448	1.8816550455817744	MOB_AA476	62:10128	5	0.0	0.49805888615176297	2.7955070978309675	5	-0.8615575439221745	10.461269971194714	0.3116596426043543	38:46492,50:24038,61:10315,65:7147,66:6549,70:3760,74:2661,75:2519,78:2415,84:1225,87:961,88:926,94:617,95:609,97:486,99:422,103:374,106:357,109:282,110:257,113:249,124:176,126:158,129:144,135:137	0	False	0
ecol-SAMN15488721	MOB_AA172	59:12724,69:3919,82:1303	4	-0.14535722146449903	1.2268430590958448	1.8816550455817744	MOB_AA579	68:4074	4	0.0	0.38735555050781645	62.61062263142534	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA172	59:12724,69:3919,82:1303	4	-0.14535722146449903	1.2268430590958448	1.8816550455817744	MOB_AA667	73:3319	4	0.0	0.40065728523766964	68.36048026873327	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA476	62:10128	5	0.0	0.49805888615176297	2.7955070978309675	MOB_AA579	68:4074	4	0.0	0.38735555050781645	62.61062263142534	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA476	62:10128	5	0.0	0.49805888615176297	2.7955070978309675	MOB_AA667	73:3319	4	0.0	0.40065728523766964	68.36048026873327	0	0	0	0		1	False	0
ecol-SAMN15488721	MOB_AA579	68:4074	4	0.0	0.38735555050781645	62.61062263142534	MOB_AA667	73:3319	4	0.0	0.40065728523766964	68.36048026873327	0	0	0	0		1	False	0
