SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P2	Contig:1:223.584:Circ:4667	4	0.0	0.3464639065488945	6.502121986489206	0	0	0	0		1	False	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P3	Contig:15:27.5338:9881,Contig:33:34.2539:5p:1:12:274,Contig:32:31.9736:11446,Contig:20:76.8938:5p:1:13:1440,Contig:33:34.2539:7353,Contig:43:45.4783:12003,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:33:34.2539:5p:1:20:274,Contig:39:76.7949:373,Contig:20:76.8938:5p:1:6:109,Contig:33:34.2539:5p:1:16:217,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:23:187.106:820	5	-0.3935873111888269	6.377552496993399	0.7844091226211043	5	-1.0199670022300298	14.844248664679707	0.684982756851241		0	True	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P4	Contig:2:158.418:Circ:4060	4	0.0	0.426719690177792	4.527482252096741	0	0	0	0		1	False	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P5	Contig:18:50.2158:3p:1:13:659,Contig:18:50.2158:3156,Contig:18:50.2158:3p:1:14:109,Contig:41:32.4626:24989,Contig:25:64.8745:1191,Contig:18:50.2158:3p:1:6:108	4	-0.05396659553415406	1.993318662325768	0.9325099352665656	5	-1.1785535151252293	9.757706590591429	0.6681256725514686	Contig:27:38.0143:2283,Contig:36:34.192:371,Contig:38:29.698:140351,Contig:46:38.7144:23797,Contig:57:34.4746:408770,Contig:5:127.837:1054,Contig:65:33.5607:229668,Contig:71:254.292:607,Contig:72:36.0893:189695,Contig:16:28.9186:3p:1:58:133,Contig:16:28.9186:3p:1:169:120,Contig:16:28.9186:3p:1:243:119,Contig:16:28.9186:3p:1:244:224,Contig:16:28.9186:3p:1:287:224,Contig:16:28.9186:3p:1:298:115,Contig:30:35.3003:3p:1:3:100,Contig:30:35.3003:3p:1:5:100,Contig:30:35.3003:3p:1:18:333,Contig:38:29.698:3p:1:5:313	0	False	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P6	Contig:43:45.4783:12003,Contig:33:34.2539:5p:1:13:194,Contig:33:34.2539:5p:1:20:274,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:9:28.1315:32789	4	-0.09179556751423545	2.5772757160435247	0.8159802762543319	5	-0.849288895402407	11.518920921153432	0.684982756851241	Contig:33:34.2539:5p:1:12:274	0	True	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P7	Contig:48:31.7659:16187,Contig:16:28.9186:3p:1:287:224,Contig:69:38.8607:4819,Contig:7:26.5618:11580,Contig:16:28.9186:3p:1:298:115	5	-0.033606273331859116	1.331997548258709	0.767440502005061	5	-0.6599859643730621	9.095314377467107	0.6681256725514687	Contig:16:28.9186:281950,Contig:36:34.192:371,Contig:46:38.7144:23797,Contig:57:34.4746:408770,Contig:71:254.292:607,Contig:72:36.0893:189695,Contig:16:28.9186:3p:1:21:104,Contig:16:28.9186:3p:1:169:120,Contig:16:28.9186:3p:1:243:119,Contig:16:28.9186:3p:1:244:224,Contig:16:28.9186:3p:1:268:103,Contig:30:35.3003:3p:1:3:100,Contig:30:35.3003:3p:1:5:100,Contig:30:35.3003:3p:1:18:333	0	False	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P8	Contig:18:50.2158:3p:1:13:659,Contig:44:34.87:15417	5	-0.03967308398943273	0.8934667337308052	0.9710672958714157	5	-0.7791967751500841	8.657854661996467	0.6681256725514686	Contig:27:38.0143:2283,Contig:36:34.192:371,Contig:38:29.698:140351,Contig:46:38.7144:23797,Contig:57:34.4746:408770,Contig:5:127.837:1054,Contig:65:33.5607:229668,Contig:71:254.292:607,Contig:72:36.0893:189695,Contig:16:28.9186:3p:1:58:133,Contig:16:28.9186:3p:1:169:120,Contig:16:28.9186:3p:1:243:119,Contig:16:28.9186:3p:1:244:224,Contig:16:28.9186:3p:1:287:224,Contig:16:28.9186:3p:1:298:115,Contig:30:35.3003:3p:1:3:100,Contig:30:35.3003:3p:1:5:100,Contig:30:35.3003:3p:1:18:333,Contig:38:29.698:3p:1:5:313	0	False	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	0	0	0	PBF_P9	Contig:20:76.8938:5363	5	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P10	Contig:8:36.128:16628	5	0.0	0.49677766994760963	1.0564003125306736	5	-1.1214287882499687	9.786573306615661	0.3473918656090973	Contig:18:50.2158:3156,Contig:25:64.8745:1191,Contig:27:38.0143:2283,Contig:36:34.192:371,Contig:38:29.698:140351,Contig:46:38.7144:23797,Contig:57:34.4746:408770,Contig:5:127.837:1054,Contig:71:254.292:607,Contig:72:36.0893:189695,Contig:78:30.5691:123523,Contig:16:28.9186:3p:1:58:133,Contig:16:28.9186:3p:1:169:120,Contig:16:28.9186:3p:1:243:119,Contig:16:28.9186:3p:1:244:224,Contig:16:28.9186:3p:1:287:224,Contig:16:28.9186:3p:1:298:115,Contig:18:50.2158:3p:1:6:108,Contig:18:50.2158:3p:1:13:659,Contig:18:50.2158:3p:1:14:109,Contig:30:35.3003:3p:1:3:100,Contig:30:35.3003:3p:1:5:100,Contig:30:35.3003:3p:1:18:333,Contig:38:29.698:3p:1:5:313	0	False	0
kpne-SAMN22551386	PBF_P1	Contig:33:34.2539:7353,Contig:3:31.296:32838,Contig:49:28.4814:2391,Contig:33:34.2539:5p:1:20:274,Contig:20:76.8938:5p:1:6:109,Contig:20:76.8938:5363,Contig:56:28.2994:6555,Contig:15:27.5338:9881,Contig:32:31.9736:11446,Contig:63:29.0018:14998,Contig:77:30.1853:411,Contig:4:26.9924:27545,Contig:33:34.2539:5p:1:13:194,Contig:14:28.5152:4324,Contig:39:76.7949:373,Contig:33:34.2539:5p:1:16:217,Contig:33:34.2539:5p:1:7:561,Contig:20:76.8938:5p:1:13:1440,Contig:59:32.0795:13411,Contig:23:187.106:820	5	-0.626379691041203	8.466696167686308	0.684982756851245	PBF_P11	Contig:19:29.927:5p:1:5:362,Contig:37:30.0771:10825	4	0.0	0.4461627070333555	0.8082406205764068	5	-0.8001811755813337	7.663524199921971	0.684982756851241	Contig:31:29.9636:237802,Contig:35:66.2873:1141,Contig:55:35.2332:118650	0	False	0
